2026-04-17T12:29:09.962449300 | transactionId=TX1003 | type=DEPOSIT | riskScore=100 | riskLevel=HIGH | rules=[LargeAmountRule, SuspiciousActivityRule] | reasons=[Extreme transaction amount exceeding INR 5,00,000., Large deposit on a zero-balance account (Potential Shell Account Activity).]
2026-04-29T22:17:52.983716200 | transactionId=TXN-BULK-0219 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.991802600 | transactionId=TXN-BULK-0225 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:52.996837400 | transactionId=TXN-BULK-0229 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.002835600 | transactionId=TXN-BULK-0234 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.036149 | transactionId=TXN-BULK-0263 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.060138600 | transactionId=TXN-BULK-0276 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.069826100 | transactionId=TXN-BULK-0283 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.077344200 | transactionId=TXN-BULK-0288 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.086961300 | transactionId=TXN-BULK-0293 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.113557600 | transactionId=TXN-BULK-0316 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.124262900 | transactionId=TXN-BULK-0326 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.126835300 | transactionId=TXN-BULK-0328 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.143785100 | transactionId=TXN-BULK-0344 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.145307700 | transactionId=TXN-BULK-0345 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.170551900 | transactionId=TXN-BULK-0371 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.173555500 | transactionId=TXN-BULK-0375 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.184908300 | transactionId=TXN-BULK-0389 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.186400400 | transactionId=TXN-BULK-0391 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T22:17:53.189400200 | transactionId=TXN-BULK-0393 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.202454200 | transactionId=TXN-BULK-0412 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.203964700 | transactionId=TXN-BULK-0413 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.228646400 | transactionId=TXN-BULK-0446 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T22:17:53.235281600 | transactionId=TXN-BULK-0453 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.236807200 | transactionId=TXN-BULK-0454 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.240805900 | transactionId=TXN-BULK-0459 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.250360400 | transactionId=TXN-BULK-0470 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.258418800 | transactionId=TXN-BULK-0479 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.260421 | transactionId=TXN-BULK-0481 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.262429100 | transactionId=TXN-BULK-0483 | type=TRANSFER | riskScore=77 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule, VelocityRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM., Daily withdrawal amount exceeds 50% of the account balance.]
2026-04-29T22:17:53.270489200 | transactionId=TXN-BULK-0493 | type=DEPOSIT | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.272489 | transactionId=TXN-BULK-0495 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
2026-04-29T22:17:53.278167900 | transactionId=TXN-BULK-0500 | type=TRANSFER | riskScore=70 | riskLevel=HIGH | rules=[LargeAmountRule, OddHoursRule] | reasons=[Extreme transaction amount exceeding INR 500,000.00., Transaction was performed between 12 AM and 4:59 AM.]
